text,legal_issue,bias_type,urgency,language,location,age,gender
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,none,distress,English,Hyderabad,19,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,none,urgent,Hinglish,Patna,48,female
They refused to register FIR citing my Gender identity.,FIR_denial,gender_bias,normal,Hindi,Chennai,50,other
Consumer complaint file karna hai.,consumer_rights,none,urgent,English,Delhi,18,other
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,none,urgent,Hindi,Delhi,46,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,normal,English,Patna,18,female
Online log gaali de rahe hain.,cyber_bullying,caste_bias,distress,English,Chennai,52,female
Property ka dispute chal raha hai.,property_dispute,none,normal,Hindi,Bangalore,59,male
Husband is beating me daily.,domestic_violence,class_bias,urgent,Hinglish,Lucknow,58,male
I am being harassed at workplace by senior.,harassment,none,distress,Hinglish,Chennai,34,other
I am being harassed at workplace by senior.,harassment,caste_bias,normal,English,Bangalore,51,female
Child custody dispute with spouse.,child_custody,none,normal,Hinglish,Hyderabad,37,male
They refused to register FIR citing my Caste identity.,FIR_denial,caste_bias,normal,Hinglish,Jaipur,21,other
Promotion nahi mila kyunki main Gender hoon.,workplace_discrimination,gender_bias,distress,Hinglish,Patna,18,female
Wife is denying me access to child.,child_custody,class_bias,normal,Hinglish,Bangalore,53,other
Sarkari office me bribe maang rahe hain.,bribery_corruption,none,urgent,English,Bangalore,25,other
Mujhe office me sexual harassment ho raha hai.,harassment,class_bias,normal,English,Mumbai,34,female
Bacche ki custody ka case hai court me.,child_custody,none,normal,English,Delhi,39,other
Child custody dispute with spouse.,child_custody,gender_bias,normal,Hindi,Delhi,52,female
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,distress,English,Bhopal,36,other
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,none,urgent,Hinglish,Kolkata,33,female
Company salary nahi de rahi.,labor_rights_violation,none,normal,Hindi,Mumbai,48,other
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,gender_bias,urgent,English,Patna,24,other
Promotion nahi mila kyunki main None hoon.,workplace_discrimination,none,urgent,Hindi,Kolkata,43,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,none,distress,Hinglish,Delhi,41,female
Wife is denying me access to child.,child_custody,class_bias,distress,Hinglish,Chennai,32,female
Shopkeeper fraud kiya mere saath.,consumer_rights,class_bias,normal,Hinglish,Bhopal,21,female
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,class_bias,urgent,English,Hyderabad,59,other
Company salary nahi de rahi.,labor_rights_violation,gender_bias,normal,Hinglish,Patna,24,male
Consumer complaint file karna hai.,consumer_rights,none,normal,English,Hyderabad,30,female
Corruption ho raha hai har jagah.,bribery_corruption,gender_bias,distress,Hindi,Bhopal,41,other
Boss discriminating against me for being Gender.,workplace_discrimination,gender_bias,normal,English,Bangalore,48,male
Consumer complaint file karna hai.,consumer_rights,class_bias,urgent,Hindi,Lucknow,24,male
Police FIR nahi likh rahi kyunki main Caste hoon.,FIR_denial,caste_bias,urgent,Hindi,Jaipur,35,male
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,gender_bias,distress,Hindi,Chennai,21,male
Shopkeeper fraud kiya mere saath.,consumer_rights,gender_bias,urgent,Hindi,Mumbai,57,female
Mere sasural wale dowry maang rahe hain.,dowry,class_bias,distress,English,Hyderabad,42,other
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,caste_bias,normal,English,Patna,27,female
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,normal,Hinglish,Mumbai,20,female
Mere sasural wale dowry maang rahe hain.,dowry,none,distress,Hinglish,Bangalore,45,female
Shopkeeper fraud kiya mere saath.,consumer_rights,gender_bias,urgent,English,Jaipur,41,other
They are making me work overtime without pay.,labor_rights_violation,caste_bias,urgent,Hindi,Bhopal,50,male
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,none,normal,English,Delhi,56,other
Mere pati mujhe maarte hain roz.,domestic_violence,caste_bias,normal,Hinglish,Bhopal,57,male
Shopkeeper fraud kiya mere saath.,consumer_rights,none,normal,Hinglish,Hyderabad,49,other
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,class_bias,normal,Hindi,Bangalore,29,other
Promotion nahi mila kyunki main Gender hoon.,workplace_discrimination,gender_bias,normal,Hinglish,Mumbai,37,female
Boss discriminating against me for being Caste.,workplace_discrimination,caste_bias,urgent,Hinglish,Lucknow,25,male
Shopkeeper fraud kiya mere saath.,consumer_rights,none,distress,English,Jaipur,43,other
Police FIR nahi likh rahi kyunki main Gender hoon.,FIR_denial,gender_bias,urgent,English,Kolkata,40,other
Consumer complaint file karna hai.,consumer_rights,class_bias,normal,English,Bangalore,34,male
Mujhe office me sexual harassment ho raha hai.,harassment,none,urgent,Hindi,Jaipur,46,female
Roz ghar pe violence hota hai.,domestic_violence,none,normal,English,Delhi,46,female
Child custody dispute with spouse.,child_custody,caste_bias,normal,Hinglish,Kolkata,50,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,caste_bias,distress,Hindi,Bangalore,57,male
Property ka dispute chal raha hai.,property_dispute,none,urgent,Hindi,Bangalore,20,other
Police FIR nahi likh rahi kyunki main None hoon.,FIR_denial,none,distress,Hindi,Patna,43,male
Roz ghar pe violence hota hai.,domestic_violence,none,urgent,Hinglish,Chennai,31,other
Police is not filing my FIR because I am Caste.,FIR_denial,caste_bias,urgent,Hinglish,Lucknow,20,male
Mere sasural wale dowry maang rahe hain.,dowry,class_bias,distress,Hinglish,Bhopal,46,male
Consumer complaint file karna hai.,consumer_rights,gender_bias,urgent,Hindi,Kolkata,46,male
I am being harassed at workplace by senior.,harassment,caste_bias,normal,English,Chennai,57,male
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,class_bias,distress,Hinglish,Jaipur,58,female
Mere pati mujhe maarte hain roz.,domestic_violence,class_bias,normal,Hindi,Bangalore,43,male
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,none,urgent,English,Bangalore,58,male
Husband is beating me daily.,domestic_violence,caste_bias,normal,English,Lucknow,49,male
Child custody dispute with spouse.,child_custody,gender_bias,urgent,Hinglish,Mumbai,26,male
Neighbour encroaching on my land.,property_dispute,class_bias,normal,Hinglish,Bangalore,51,female
Child custody dispute with spouse.,child_custody,class_bias,normal,Hindi,Mumbai,31,male
Child custody dispute with spouse.,child_custody,class_bias,distress,Hindi,Patna,40,female
Neighbour encroaching on my land.,property_dispute,caste_bias,normal,Hinglish,Kolkata,33,other
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,class_bias,distress,English,Hyderabad,36,female
Mujhe office me sexual harassment ho raha hai.,harassment,class_bias,distress,Hinglish,Mumbai,36,female
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,gender_bias,distress,English,Bhopal,57,other
Mujhe office me sexual harassment ho raha hai.,harassment,none,normal,Hinglish,Chennai,23,female
Promotion nahi mila kyunki main None hoon.,workplace_discrimination,none,urgent,English,Delhi,58,female
Had to pay bribe for simple work.,bribery_corruption,gender_bias,normal,Hindi,Jaipur,48,male
Padosi mera zameen kabza kar raha hai.,property_dispute,class_bias,urgent,English,Patna,18,male
Company salary nahi de rahi.,labor_rights_violation,gender_bias,urgent,Hindi,Kolkata,52,male
Company salary nahi de rahi.,labor_rights_violation,none,urgent,Hindi,Mumbai,57,female
Online log gaali de rahe hain.,cyber_bullying,class_bias,urgent,English,Hyderabad,44,female
Police is not filing my FIR because I am Gender.,FIR_denial,gender_bias,distress,Hindi,Bangalore,56,female
People are trolling and abusing me on social media.,cyber_bullying,gender_bias,distress,English,Kolkata,23,female
Online log gaali de rahe hain.,cyber_bullying,gender_bias,urgent,Hinglish,Jaipur,49,other
Property ka dispute chal raha hai.,property_dispute,none,urgent,English,Lucknow,24,male
Shopkeeper fraud kiya mere saath.,consumer_rights,gender_bias,distress,Hindi,Patna,41,other
Police is not filing my FIR because I am Gender.,FIR_denial,gender_bias,normal,English,Mumbai,21,female
Consumer complaint file karna hai.,consumer_rights,none,distress,English,Lucknow,51,female
Police FIR nahi likh rahi kyunki main Class hoon.,FIR_denial,class_bias,normal,Hindi,Mumbai,51,other
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,gender_bias,urgent,Hinglish,Hyderabad,20,male
Property ka dispute chal raha hai.,property_dispute,caste_bias,urgent,Hinglish,Bhopal,24,other
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,urgent,English,Hyderabad,26,other
Product defective hai aur return nahi le rahe.,consumer_rights,gender_bias,urgent,Hinglish,Patna,35,female
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,gender_bias,urgent,English,Kolkata,18,female
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,caste_bias,normal,English,Bangalore,46,female
Police is not filing my FIR because I am Caste.,FIR_denial,caste_bias,urgent,Hindi,Hyderabad,23,male
Bacche ki custody ka case hai court me.,child_custody,class_bias,distress,English,Mumbai,48,female
Padosi mera zameen kabza kar raha hai.,property_dispute,caste_bias,distress,Hinglish,Delhi,58,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,none,normal,Hinglish,Lucknow,49,other
Promotion nahi mila kyunki main Class hoon.,workplace_discrimination,class_bias,normal,English,Hyderabad,59,other
Bacche ki custody ka case hai court me.,child_custody,none,distress,Hinglish,Jaipur,30,male
Mujhe office me sexual harassment ho raha hai.,harassment,none,normal,Hinglish,Lucknow,33,other
My in-laws are torturing me for dowry.,dowry,caste_bias,normal,Hindi,Patna,48,male
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,caste_bias,urgent,Hindi,Delhi,53,male
Husband is beating me daily.,domestic_violence,caste_bias,normal,Hindi,Jaipur,38,female
Property ka dispute chal raha hai.,property_dispute,none,distress,English,Hyderabad,59,other
Corruption ho raha hai har jagah.,bribery_corruption,caste_bias,urgent,Hindi,Jaipur,18,other
Child custody dispute with spouse.,child_custody,class_bias,normal,Hinglish,Delhi,59,other
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,class_bias,distress,Hinglish,Delhi,27,male
Mere pati mujhe maarte hain roz.,domestic_violence,none,normal,Hinglish,Mumbai,24,female
Police FIR nahi likh rahi kyunki main Caste hoon.,FIR_denial,caste_bias,normal,English,Lucknow,33,male
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,none,distress,Hinglish,Delhi,43,female
Mere pati mujhe maarte hain roz.,domestic_violence,caste_bias,distress,Hinglish,Hyderabad,53,male
They refused to register FIR citing my None identity.,FIR_denial,none,urgent,English,Lucknow,30,female
Mere pati mujhe maarte hain roz.,domestic_violence,gender_bias,urgent,Hinglish,Hyderabad,45,female
My in-laws are torturing me for dowry.,dowry,gender_bias,distress,English,Patna,33,other
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,none,normal,English,Delhi,58,male
Shopkeeper fraud kiya mere saath.,consumer_rights,class_bias,urgent,Hinglish,Lucknow,28,female
Mere pati mujhe maarte hain roz.,domestic_violence,none,normal,Hinglish,Chennai,33,female
People are trolling and abusing me on social media.,cyber_bullying,class_bias,urgent,Hinglish,Lucknow,53,male
Company salary nahi de rahi.,labor_rights_violation,class_bias,distress,English,Chennai,32,male
They refused to register FIR citing my Caste identity.,FIR_denial,caste_bias,normal,Hindi,Kolkata,45,male
Mere pati mujhe maarte hain roz.,domestic_violence,none,distress,English,Delhi,28,female
Padosi mera zameen kabza kar raha hai.,property_dispute,none,normal,English,Kolkata,53,female
Wife is denying me access to child.,child_custody,class_bias,normal,English,Bangalore,30,other
Padosi mera zameen kabza kar raha hai.,property_dispute,gender_bias,normal,Hinglish,Lucknow,40,female
Online log gaali de rahe hain.,cyber_bullying,gender_bias,urgent,Hindi,Jaipur,47,female
Boss discriminating against me for being None.,workplace_discrimination,none,distress,Hinglish,Delhi,26,male
Landlord evicted me without any legal notice.,rent_eviction,caste_bias,distress,Hindi,Jaipur,28,other
My in-laws are torturing me for dowry.,dowry,caste_bias,urgent,Hindi,Jaipur,60,other
Landlord evicted me without any legal notice.,rent_eviction,gender_bias,normal,Hindi,Patna,27,male
Mujhe office me sexual harassment ho raha hai.,harassment,gender_bias,distress,Hindi,Patna,57,female
They refused to register FIR citing my None identity.,FIR_denial,none,normal,English,Chennai,46,male
Office me biased treatment mil raha hai.,workplace_discrimination,none,normal,English,Kolkata,35,other
People are trolling and abusing me on social media.,cyber_bullying,gender_bias,distress,English,Kolkata,43,female
Neighbour encroaching on my land.,property_dispute,none,normal,English,Lucknow,31,female
Wife is denying me access to child.,child_custody,gender_bias,normal,English,Jaipur,31,female
I am being harassed at workplace by senior.,harassment,class_bias,distress,Hindi,Hyderabad,23,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,caste_bias,urgent,Hinglish,Lucknow,47,other
Husband is beating me daily.,domestic_violence,class_bias,distress,Hindi,Bangalore,26,other
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,caste_bias,distress,English,Bangalore,49,male
Police FIR nahi likh rahi kyunki main Class hoon.,FIR_denial,class_bias,distress,English,Chennai,26,male
Neighbour encroaching on my land.,property_dispute,caste_bias,distress,Hinglish,Jaipur,54,other
Child custody dispute with spouse.,child_custody,class_bias,normal,Hindi,Jaipur,43,other
Company salary nahi de rahi.,labor_rights_violation,class_bias,distress,Hindi,Lucknow,22,other
They are making me work overtime without pay.,labor_rights_violation,gender_bias,distress,Hindi,Hyderabad,42,other
Mere sasural wale dowry maang rahe hain.,dowry,caste_bias,urgent,Hindi,Mumbai,59,other
Neighbour encroaching on my land.,property_dispute,none,normal,Hindi,Bangalore,23,female
Promotion nahi mila kyunki main None hoon.,workplace_discrimination,none,distress,Hinglish,Patna,27,female
Child custody dispute with spouse.,child_custody,gender_bias,distress,English,Jaipur,49,male
Husband is beating me daily.,domestic_violence,gender_bias,urgent,Hinglish,Bhopal,55,male
Office wale badtameezi karte hain.,harassment,none,distress,English,Chennai,20,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,caste_bias,urgent,Hinglish,Bhopal,49,other
Office me biased treatment mil raha hai.,workplace_discrimination,class_bias,normal,Hinglish,Hyderabad,60,other
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,none,normal,Hindi,Bhopal,35,other
People are trolling and abusing me on social media.,cyber_bullying,none,distress,English,Bhopal,40,male
My in-laws are torturing me for dowry.,dowry,gender_bias,urgent,English,Delhi,26,female
Wife is denying me access to child.,child_custody,none,normal,English,Jaipur,19,male
Mujhe office me sexual harassment ho raha hai.,harassment,class_bias,distress,English,Mumbai,26,other
Office wale badtameezi karte hain.,harassment,caste_bias,normal,Hindi,Mumbai,29,other
Sarkari office me bribe maang rahe hain.,bribery_corruption,none,distress,Hinglish,Chennai,34,other
Wife is denying me access to child.,child_custody,caste_bias,distress,English,Lucknow,42,female
They are making me work overtime without pay.,labor_rights_violation,class_bias,normal,English,Jaipur,56,other
Office wale badtameezi karte hain.,harassment,gender_bias,normal,Hindi,Jaipur,26,other
Police is not filing my FIR because I am None.,FIR_denial,none,normal,Hindi,Mumbai,55,other
Roz ghar pe violence hota hai.,domestic_violence,class_bias,distress,English,Hyderabad,46,other
Police is not filing my FIR because I am Gender.,FIR_denial,gender_bias,distress,English,Chennai,39,other
My in-laws are torturing me for dowry.,dowry,caste_bias,urgent,English,Bangalore,47,female
Police FIR nahi likh rahi kyunki main Class hoon.,FIR_denial,class_bias,distress,English,Delhi,30,other
Bacche ki custody ka case hai court me.,child_custody,gender_bias,normal,Hindi,Bhopal,53,female
Had to pay bribe for simple work.,bribery_corruption,caste_bias,urgent,English,Jaipur,55,female
Padosi mera zameen kabza kar raha hai.,property_dispute,none,distress,English,Bangalore,59,female
Corruption ho raha hai har jagah.,bribery_corruption,none,distress,English,Kolkata,20,male
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,none,distress,Hinglish,Delhi,44,other
Property ka dispute chal raha hai.,property_dispute,caste_bias,normal,Hinglish,Patna,28,male
My in-laws are torturing me for dowry.,dowry,none,normal,Hindi,Mumbai,57,female
Neighbour encroaching on my land.,property_dispute,gender_bias,normal,English,Jaipur,42,male
Neighbour encroaching on my land.,property_dispute,caste_bias,normal,English,Mumbai,29,male
People are trolling and abusing me on social media.,cyber_bullying,caste_bias,distress,Hindi,Delhi,55,other
Mere sasural wale dowry maang rahe hain.,dowry,gender_bias,normal,Hinglish,Bhopal,33,other
Neighbour encroaching on my land.,property_dispute,gender_bias,urgent,Hindi,Bangalore,54,other
Corruption ho raha hai har jagah.,bribery_corruption,class_bias,distress,Hindi,Hyderabad,30,male
Office me biased treatment mil raha hai.,workplace_discrimination,gender_bias,distress,Hinglish,Bangalore,32,other
I am being harassed at workplace by senior.,harassment,class_bias,normal,Hinglish,Chennai,32,male
Bacche ki custody ka case hai court me.,child_custody,class_bias,normal,Hindi,Jaipur,44,other
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,urgent,Hinglish,Hyderabad,28,other
Mujhe office me sexual harassment ho raha hai.,harassment,gender_bias,urgent,Hindi,Kolkata,22,male
Promotion nahi mila kyunki main Class hoon.,workplace_discrimination,class_bias,distress,Hinglish,Hyderabad,23,male
Neighbour encroaching on my land.,property_dispute,gender_bias,distress,Hinglish,Jaipur,18,male
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,class_bias,urgent,Hindi,Patna,55,other
Bacche ki custody ka case hai court me.,child_custody,class_bias,distress,English,Kolkata,21,female
Product defective hai aur return nahi le rahe.,consumer_rights,none,urgent,Hindi,Hyderabad,57,male
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,gender_bias,normal,English,Kolkata,33,female
Padosi mera zameen kabza kar raha hai.,property_dispute,none,normal,Hindi,Mumbai,32,other
My in-laws are torturing me for dowry.,dowry,class_bias,normal,English,Bhopal,40,other
Wife is denying me access to child.,child_custody,gender_bias,urgent,Hinglish,Hyderabad,54,male
Promotion nahi mila kyunki main None hoon.,workplace_discrimination,none,normal,Hindi,Bhopal,60,other
Landlord evicted me without any legal notice.,rent_eviction,none,distress,Hindi,Kolkata,58,male
Husband is beating me daily.,domestic_violence,gender_bias,urgent,English,Kolkata,34,other
Promotion nahi mila kyunki main Gender hoon.,workplace_discrimination,gender_bias,urgent,Hinglish,Patna,47,other
Boss discriminating against me for being None.,workplace_discrimination,none,distress,Hinglish,Mumbai,34,male
Office wale badtameezi karte hain.,harassment,class_bias,urgent,Hinglish,Lucknow,60,female
They refused to register FIR citing my None identity.,FIR_denial,none,normal,English,Bangalore,36,male
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,class_bias,normal,Hindi,Kolkata,58,male
Online log gaali de rahe hain.,cyber_bullying,gender_bias,normal,English,Kolkata,32,male
Consumer complaint file karna hai.,consumer_rights,caste_bias,distress,Hinglish,Mumbai,53,other
Company salary nahi de rahi.,labor_rights_violation,none,urgent,Hinglish,Lucknow,53,female
Roz ghar pe violence hota hai.,domestic_violence,caste_bias,normal,Hindi,Jaipur,43,other
Shopkeeper fraud kiya mere saath.,consumer_rights,caste_bias,urgent,Hindi,Hyderabad,53,female
Had to pay bribe for simple work.,bribery_corruption,gender_bias,urgent,Hinglish,Mumbai,23,other
Company salary nahi de rahi.,labor_rights_violation,gender_bias,normal,Hindi,Delhi,21,other
I am being harassed at workplace by senior.,harassment,class_bias,urgent,Hindi,Jaipur,28,other
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,normal,English,Delhi,42,other
Neighbour encroaching on my land.,property_dispute,class_bias,urgent,Hindi,Bhopal,39,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,caste_bias,normal,English,Hyderabad,44,other
Roz ghar pe violence hota hai.,domestic_violence,caste_bias,normal,Hinglish,Mumbai,28,female
Consumer complaint file karna hai.,consumer_rights,caste_bias,distress,Hinglish,Patna,33,male
Corruption ho raha hai har jagah.,bribery_corruption,none,normal,English,Jaipur,29,female
Had to pay bribe for simple work.,bribery_corruption,none,distress,English,Patna,58,male
Shopkeeper fraud kiya mere saath.,consumer_rights,none,urgent,English,Kolkata,31,other
Landlord evicted me without any legal notice.,rent_eviction,caste_bias,distress,English,Jaipur,32,other
My in-laws are torturing me for dowry.,dowry,gender_bias,distress,Hinglish,Chennai,19,female
Bacche ki custody ka case hai court me.,child_custody,class_bias,normal,English,Patna,32,female
Wife is denying me access to child.,child_custody,caste_bias,normal,English,Bhopal,55,male
They refused to register FIR citing my Caste identity.,FIR_denial,caste_bias,normal,English,Mumbai,42,other
Child custody dispute with spouse.,child_custody,class_bias,urgent,Hindi,Lucknow,45,male
Corruption ho raha hai har jagah.,bribery_corruption,none,distress,English,Mumbai,47,other
Mere pati mujhe maarte hain roz.,domestic_violence,none,normal,Hindi,Bhopal,42,female
They refused to register FIR citing my None identity.,FIR_denial,none,urgent,Hinglish,Hyderabad,46,female
Shopkeeper fraud kiya mere saath.,consumer_rights,none,normal,Hinglish,Lucknow,32,other
Office wale badtameezi karte hain.,harassment,none,urgent,English,Hyderabad,53,male
Roz ghar pe violence hota hai.,domestic_violence,caste_bias,distress,Hinglish,Patna,22,male
My in-laws are torturing me for dowry.,dowry,none,urgent,Hindi,Chennai,22,male
Shopkeeper fraud kiya mere saath.,consumer_rights,none,normal,Hindi,Lucknow,53,female
Child custody dispute with spouse.,child_custody,caste_bias,distress,Hinglish,Bhopal,40,male
Promotion nahi mila kyunki main None hoon.,workplace_discrimination,none,normal,Hindi,Hyderabad,53,other
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,caste_bias,urgent,Hinglish,Delhi,21,male
Product defective hai aur return nahi le rahe.,consumer_rights,class_bias,urgent,Hinglish,Bhopal,19,male
Mere sasural wale dowry maang rahe hain.,dowry,none,distress,Hindi,Bhopal,48,other
Product defective hai aur return nahi le rahe.,consumer_rights,none,urgent,Hindi,Kolkata,48,female
Had to pay bribe for simple work.,bribery_corruption,none,urgent,Hindi,Jaipur,21,female
People are trolling and abusing me on social media.,cyber_bullying,none,normal,Hinglish,Bangalore,31,other
Office wale badtameezi karte hain.,harassment,caste_bias,urgent,Hinglish,Chennai,28,female
Neighbour encroaching on my land.,property_dispute,gender_bias,urgent,Hinglish,Delhi,19,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,gender_bias,distress,English,Bhopal,20,male
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,caste_bias,normal,English,Bangalore,20,other
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,caste_bias,normal,English,Chennai,35,female
Boss discriminating against me for being Gender.,workplace_discrimination,gender_bias,normal,Hinglish,Lucknow,40,female
Husband is beating me daily.,domestic_violence,caste_bias,distress,English,Lucknow,42,male
Promotion nahi mila kyunki main Gender hoon.,workplace_discrimination,gender_bias,normal,Hindi,Mumbai,55,male
Police FIR nahi likh rahi kyunki main Gender hoon.,FIR_denial,gender_bias,urgent,English,Kolkata,57,female
Mere sasural wale dowry maang rahe hain.,dowry,caste_bias,normal,Hinglish,Bangalore,35,female
Had to pay bribe for simple work.,bribery_corruption,caste_bias,normal,Hindi,Hyderabad,35,female
Boss discriminating against me for being Caste.,workplace_discrimination,caste_bias,urgent,English,Patna,47,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,caste_bias,normal,English,Patna,30,male
Bacche ki custody ka case hai court me.,child_custody,none,normal,English,Bangalore,24,other
Product defective hai aur return nahi le rahe.,consumer_rights,caste_bias,distress,Hindi,Patna,20,female
Mujhe office me sexual harassment ho raha hai.,harassment,gender_bias,urgent,English,Hyderabad,24,male
People are trolling and abusing me on social media.,cyber_bullying,none,normal,Hinglish,Hyderabad,57,female
Police FIR nahi likh rahi kyunki main Class hoon.,FIR_denial,class_bias,urgent,English,Kolkata,20,female
Office wale badtameezi karte hain.,harassment,caste_bias,urgent,English,Delhi,45,other
Child custody dispute with spouse.,child_custody,gender_bias,urgent,English,Patna,18,female
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,class_bias,urgent,Hindi,Bhopal,58,male
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,none,urgent,Hinglish,Hyderabad,23,male
People are trolling and abusing me on social media.,cyber_bullying,gender_bias,distress,English,Kolkata,49,female
I am being harassed at workplace by senior.,harassment,gender_bias,distress,English,Chennai,49,other
Office me biased treatment mil raha hai.,workplace_discrimination,gender_bias,distress,Hindi,Kolkata,26,female
Police is not filing my FIR because I am Class.,FIR_denial,class_bias,normal,Hinglish,Delhi,44,male
Property ka dispute chal raha hai.,property_dispute,gender_bias,urgent,English,Delhi,49,female
Mere sasural wale dowry maang rahe hain.,dowry,class_bias,normal,Hindi,Hyderabad,24,male
Wife is denying me access to child.,child_custody,class_bias,distress,Hinglish,Bhopal,53,other
Landlord evicted me without any legal notice.,rent_eviction,caste_bias,urgent,English,Patna,25,female
Wife is denying me access to child.,child_custody,class_bias,normal,Hindi,Kolkata,46,other
Property ka dispute chal raha hai.,property_dispute,caste_bias,distress,English,Patna,56,male
Landlord evicted me without any legal notice.,rent_eviction,class_bias,normal,Hinglish,Jaipur,43,other
I am being harassed at workplace by senior.,harassment,gender_bias,urgent,English,Mumbai,18,male
Product defective hai aur return nahi le rahe.,consumer_rights,caste_bias,normal,Hinglish,Mumbai,26,other
My in-laws are torturing me for dowry.,dowry,gender_bias,distress,Hindi,Lucknow,19,female
Padosi mera zameen kabza kar raha hai.,property_dispute,none,distress,Hindi,Bhopal,56,male
Had to pay bribe for simple work.,bribery_corruption,class_bias,normal,Hindi,Hyderabad,48,other
Property ka dispute chal raha hai.,property_dispute,caste_bias,normal,Hinglish,Hyderabad,32,male
Neighbour encroaching on my land.,property_dispute,gender_bias,distress,Hindi,Lucknow,50,male
Office wale badtameezi karte hain.,harassment,none,urgent,English,Delhi,29,male
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,normal,Hinglish,Hyderabad,46,male
Child custody dispute with spouse.,child_custody,gender_bias,normal,Hindi,Mumbai,23,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,caste_bias,distress,English,Bhopal,48,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,distress,English,Chennai,44,female
Police is not filing my FIR because I am Caste.,FIR_denial,caste_bias,urgent,English,Mumbai,24,female
Neighbour encroaching on my land.,property_dispute,none,distress,English,Bhopal,56,other
Promotion nahi mila kyunki main Caste hoon.,workplace_discrimination,caste_bias,normal,English,Hyderabad,30,other
Bacche ki custody ka case hai court me.,child_custody,class_bias,urgent,Hinglish,Hyderabad,29,male
My in-laws are torturing me for dowry.,dowry,class_bias,urgent,English,Bhopal,34,male
Company salary nahi de rahi.,labor_rights_violation,class_bias,urgent,English,Lucknow,48,female
Consumer complaint file karna hai.,consumer_rights,caste_bias,normal,English,Kolkata,60,other
Office wale badtameezi karte hain.,harassment,none,normal,Hinglish,Jaipur,49,female
Police is not filing my FIR because I am Gender.,FIR_denial,gender_bias,normal,Hindi,Delhi,32,other
Office me biased treatment mil raha hai.,workplace_discrimination,gender_bias,normal,Hindi,Lucknow,31,female
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,distress,Hindi,Bangalore,56,male
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,caste_bias,normal,Hinglish,Chennai,56,male
They refused to register FIR citing my Gender identity.,FIR_denial,gender_bias,distress,Hindi,Delhi,22,male
Company salary nahi de rahi.,labor_rights_violation,gender_bias,distress,Hindi,Kolkata,19,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,gender_bias,normal,English,Chennai,25,male
